gene_id,H_1106_BA9_mRNASeq,H_1104_CAP_mRNASeq,H_1105_BA9_mRNASeq,H_1105_CAP_mRNASeq,H_1104_BA9_mRNASeq
ENSG00000198223.16,144.218,113.938,90.6427,298.385,58.8061
ENSG00000226179.6,41.5442,34.891,70.8976,35.0574,15.5677
ENSG00000182378.13,458.22,357.781,160.434,266.089,127.33
ENSG00000184319.15,1396.2,689.034,330.965,710.2760000000002,315.475
ENSG00000100299.17,422.39,385.717,518.0,417.536,349.0
ENSG00000254413.8,74.6114,444.264,110.617,69.054,222.064
ENSG00000177989.13,21.0,22.0,30.6494,16.0807,66.9357
ENSG00000272821.1,64.9036,96.0722,221.98,52.7614,223.813
ENSG00000130489.13,203.096,124.927,316.961,136.239,196.187
ENSG00000100258.17,362.0,290.0,1068.0,337.0,637.0
ENSG00000100241.20,3562.0,4653.0,3638.0,2755.0,3019.0
ENSG00000279182.1,1.0,13.291,14.7912,9.0,5.13432
ENSG00000196576.14,939.001,1052.0,1105.0,959.0,1044.0
ENSG00000188130.13,526.394,583.581,627.3480000000002,333.215,502.797
ENSG00000128159.11,1565.98,1982.91,1259.23,1317.25,1117.02
ENSG00000272836.1,22.0,17.0,6.0,12.0,7.0
ENSG00000073169.13,228.422,324.111,695.107,194.81,407.722
ENSG00000273253.2,40.0,35.0,78.6418,79.0352,43.5208
ENSG00000273188.1,38.8076,59.8735,63.0,67.2812,28.0
ENSG00000073150.13,230.0,139.0,855.0,121.0,925.0
ENSG00000273192.1,8.12312,34.5331,45.3447,11.45,42.0457
ENSG00000100426.6,599.0,872.0,193.0,499.0,132.0
ENSG00000279494.1,32.3288,40.5643,1.44057,21.5691,4.60316
ENSG00000279345.1,65.0857,126.246,6.47923,75.7574,3.17331
ENSG00000100425.18,665.0,821.0,556.0,807.0,371.0
ENSG00000213279.2,382.636,355.778,18.1562,285.469,16.415
ENSG00000188511.12,51.162,105.535,22.003,60.2093,31.0083
ENSG00000281732.1,54.0,233.0,1.0,55.9999,2.0
ENSG00000278890.1,15.2217,46.4064,2.00109,14.1357,3.00265
ENSG00000279712.1,291.941,210.343,34.4781,112.502,21.4015
ENSG00000054611.13,547.615,652.092,500.772,632.414,303.012
ENSG00000260708.1,168.0,83.0,163.0,253.0,82.0
ENSG00000075240.16,1128.95,706.495,651.519,610.007,512.0
ENSG00000100416.12,834.437,1244.83,645.568,670.7919999999998,510.454
